run,task_id
arabic_drafting_ckb,05d8f416ea59457e823cd8d5a180faf0
arabic_drafting_urd,da4bab26df3643aaa745accc6b96dbcf
arabic_gapfill_ckb,b92e533318134bdab8f099490f3f800d
arabic_gapfill_urd,699b60b58b23410e8627c6cfac0b15d9
devanagari_drafting_hne,dae33cec3fa645d68cd6725f354fec53
devanagari_drafting_mar,744b716c5f3c411181b2d5c6cea8bdca
devanagari_gapfill_hne,e15c2866420141d6ae70acb0f7330585
devanagari_gapfill_mar,9978dbec160d415a94cf3bdb2fb5eacc
ethiopic_drafting_gmv,e4dc81af7d214146ac500c138f6ae8d4
ethiopic_drafting_gof,22a90f797264448e838a1483c5828518
ethiopic_gapfill_gmv,f229629c54ee4a449e05298433bb489e
